date_key,zone_id,component_id,planned_budget,spent_budget,committed_budget,variance_amount,variance_percent
2024-03-01,Z04,C03,2804194,2599917,2728523,-204277,-7.3
2024-03-01,Z04,C04,1582159,1433810,1484538,-148349,-9.4
2024-03-01,Z05,C01,2401235,1538528,1601518,-862707,-35.9
2024-03-01,Z05,C02,1851068,1281316,1333311,-569752,-30.8
2024-03-01,Z05,C03,2728339,1917758,1946862,-810581,-29.7
2024-03-01,Z05,C04,1613694,1564669,1640732,-49025,-3.0
2024-03-01,Z06,C01,2500484,1936980,1956712,-563504,-22.5
2024-03-01,Z06,C02,1839927,1542081,1558370,-297846,-16.2
2024-03-01,Z06,C03,2684466,2349123,2443731,-335343,-12.5
2024-03-01,Z06,C04,1639207,1398065,1447092,-241142,-14.7
2024-04-01,Z01,C01,2465227,2425685,2471896,-39542,-1.6
2024-04-01,Z01,C02,1929896,1702915,1746070,-226981,-11.8
2024-04-01,Z01,C03,2754316,2550899,2607643,-203417,-7.4
2024-04-01,Z01,C04,1517114,1399684,1429964,-117430,-7.7
2024-04-01,Z02,C01,2590796,2085188,2149436,-505608,-19.5
2024-04-01,Z02,C02,1837394,1440845,1512626,-396549,-21.6
2024-04-01,Z02,C03,2689845,2573925,2702224,-115920,-4.3
2024-04-01,Z02,C04,1628497,1344206,1408625,-284291,-17.5
2024-04-01,Z03,C01,2640702,2508640,2615208,-132062,-5.0
2024-04-01,Z03,C02,1705013,1590902,1615160,-114111,-6.7
2024-04-01,Z03,C03,2792433,2836605,2867457,44172,1.6
2024-04-01,Z03,C04,1632286,1547315,1603052,-84971,-5.2
2024-04-01,Z04,C01,2409794,2241276,2297325,-168518,-7.0
2024-04-01,Z04,C02,1867856,1638672,1658243,-229184,-12.3
2024-04-01,Z04,C03,2612572,2492848,2583784,-119724,-4.6
2024-04-01,Z04,C04,1671328,1487010,1508767,-184318,-11.0
2024-04-01,Z05,C01,2516474,1670508,1712622,-845966,-33.6
2024-04-01,Z05,C02,1843466,1250596,1273382,-592870,-32.2
2024-04-01,Z05,C03,2779762,2149681,2225377,-630081,-22.7
2024-04-01,Z05,C04,1578935,1605149,1654607,26214,1.7
2024-04-01,Z06,C01,2563262,2036069,2124080,-527193,-20.6
2024-04-01,Z06,C02,1727502,1381867,1423963,-345635,-20.0
2024-04-01,Z06,C03,2761925,2325006,2358139,-436919,-15.8
2024-04-01,Z06,C04,1552074,1303589,1348380,-248485,-16.0
2024-05-01,Z01,C01,2603937,2328037,2370097,-275900,-10.6
2024-05-01,Z01,C02,1884401,1833102,1881478,-51299,-2.7
2024-05-01,Z01,C03,2642040,2557839,2604667,-84201,-3.2
2024-05-01,Z01,C04,1744612,1600197,1646965,-144415,-8.3
2024-05-01,Z02,C01,2461474,2312630,2419647,-148844,-6.0
2024-05-01,Z02,C02,1918951,1634064,1687933,-284887,-14.8
2024-05-01,Z02,C03,2729526,2362233,2434206,-367293,-13.5
2024-05-01,Z02,C04,1689677,1471724,1529037,-217953,-12.9
2024-05-01,Z03,C01,2637182,2421961,2541961,-215221,-8.2
2024-05-01,Z03,C02,1777600,1712673,1747894,-64927,-3.7
2024-05-01,Z03,C03,2613128,2482751,2511496,-130377,-5.0
2024-05-01,Z03,C04,1576170,1484466,1520700,-91704,-5.8
2024-05-01,Z04,C01,2577410,2170881,2200839,-406529,-15.8
2024-05-01,Z04,C02,1898758,1843216,1927288,-55542,-2.9
2024-05-01,Z04,C03,2602535,2427999,2468839,-174536,-6.7
2024-05-01,Z04,C04,1593723,1289371,1348400,-304352,-19.1
2024-05-01,Z05,C01,2563002,1714152,1756843,-848850,-33.1
2024-05-01,Z05,C02,1789842,1390478,1414554,-399364,-22.3
2024-05-01,Z05,C03,2705061,1694268,1767847,-1010793,-37.4
2024-05-01,Z05,C04,1680853,1784755,1848924,103902,6.2
2024-05-01,Z06,C01,2608905,1912830,1944719,-696075,-26.7
2024-05-01,Z06,C02,1734737,1410477,1477755,-324260,-18.7
2024-05-01,Z06,C03,2641784,2114277,2144191,-527507,-20.0
2024-05-01,Z06,C04,1738872,1267748,1314827,-471124,-27.1
2024-06-01,Z01,C01,2447516,2060041,2131015,-387475,-15.8
2024-06-01,Z01,C02,1904253,1696404,1759813,-207849,-10.9
2024-06-01,Z01,C03,2819817,2569588,2670036,-250229,-8.9
2024-06-01,Z01,C04,1733770,1719897,1744866,-13873,-0.8
2024-06-01,Z02,C01,2507815,2379365,2445101,-128450,-5.1
2024-06-01,Z02,C02,1716603,1452591,1508055,-264012,-15.4
2024-06-01,Z02,C03,2777714,2505433,2583083,-272281,-9.8
2024-06-01,Z02,C04,1694936,1324402,1389451,-370534,-21.9
2024-06-01,Z03,C01,2575595,2277187,2379491,-298408,-11.6
2024-06-01,Z03,C02,1836078,1519905,1540894,-316173,-17.2
2024-06-01,Z03,C03,2773464,2514204,2612424,-259260,-9.3
2024-06-01,Z03,C04,1626334,1413278,1449168,-213056,-13.1
2024-06-01,Z04,C01,2619947,2500201,2607853,-119746,-4.6
2024-06-01,Z04,C02,1933848,1740542,1802742,-193306,-10.0
2024-06-01,Z04,C03,2641137,2320132,2390253,-321005,-12.2
2024-06-01,Z04,C04,1623021,1545616,1565701,-77405,-4.8
2024-06-01,Z05,C01,2528882,1517329,1551963,-1011553,-40.0
2024-06-01,Z05,C02,1786742,1248840,1272453,-537902,-30.1
2024-06-01,Z05,C03,2768641,1872718,1919808,-895923,-32.4
2024-06-01,Z05,C04,1714198,1856666,1934740,142468,8.3
2024-06-01,Z06,C01,2517466,2215319,2265479,-302147,-12.0
2024-06-01,Z06,C02,1830383,1568685,1631134,-261698,-14.3
2024-06-01,Z06,C03,2604658,2264596,2337709,-340062,-13.1
2024-06-01,Z06,C04,1500044,1285824,1341161,-214220,-14.3
2024-07-01,Z01,C01,2607561,2174387,2222623,-433174,-16.6
2024-07-01,Z01,C02,1833257,1556872,1607460,-276385,-15.1
2024-07-01,Z01,C03,2771598,2301424,2357886,-470174,-17.0
2024-07-01,Z01,C04,1514227,1166708,1216484,-347519,-23.0
2024-07-01,Z02,C01,2621332,2034749,2105539,-586583,-22.4
2024-07-01,Z02,C02,1824029,1590015,1651495,-234014,-12.8
2024-07-01,Z02,C03,2695235,2274037,2365846,-421198,-15.6
2024-07-01,Z02,C04,1558129,1279458,1292365,-278671,-17.9
2024-07-01,Z03,C01,2493097,2479554,2533309,-13543,-0.5
2024-07-01,Z03,C02,1836835,1440312,1476256,-396523,-21.6
2024-07-01,Z03,C03,2627871,2508185,2547358,-119686,-4.6
2024-07-01,Z03,C04,1687919,1570091,1632424,-117828,-7.0
2024-07-01,Z04,C01,2507272,2368138,2409585,-139134,-5.5
2024-07-01,Z04,C02,1943850,1810352,1890166,-133498,-6.9
2024-07-01,Z04,C03,2656515,2069832,2149876,-586683,-22.1
2024-07-01,Z04,C04,1528250,1387495,1443392,-140755,-9.2
2024-07-01,Z05,C01,2412189,1887377,1950703,-524812,-21.8
2024-07-01,Z05,C02,1902413,1196845,1251505,-705568,-37.1
2024-07-01,Z05,C03,2719901,1631941,1657049,-1087960,-40.0
2024-07-01,Z05,C04,1630764,1824757,1883385,193993,11.9
2024-07-01,Z06,C01,2513458,2067745,2157801,-445713,-17.7
2024-07-01,Z06,C02,1826597,1667672,1745064,-158925,-8.7
2024-07-01,Z06,C03,2781355,2147632,2218809,-633723,-22.8
2024-07-01,Z06,C04,1691494,1405938,1456975,-285556,-16.9
2024-08-01,Z01,C01,2558901,2237169,2338530,-321732,-12.6
2024-08-01,Z01,C02,1832149,1733081,1792629,-99068,-5.4
2024-08-01,Z01,C03,2781538,2385502,2482103,-396036,-14.2
2024-08-01,Z01,C04,1571721,1345323,1374607,-226398,-14.4
2024-08-01,Z02,C01,2610972,2305253,2340604,-305719,-11.7
2024-08-01,Z02,C02,1808198,1356022,1397370,-452176,-25.0
2024-08-01,Z02,C03,2821006,2185832,2269024,-635174,-22.5
2024-08-01,Z02,C04,1725629,1400661,1445683,-324968,-18.8
2024-08-01,Z03,C01,2456975,2482131,2526898,25156,1.0
2024-08-01,Z03,C02,1863621,1676731,1755282,-186890,-10.0
2024-08-01,Z03,C03,2634779,2189179,2297004,-445600,-16.9
2024-08-01,Z03,C04,1670416,1598738,1649417,-71678,-4.3
2024-08-01,Z04,C01,2566953,2243949,2295325,-323004,-12.6
2024-08-01,Z04,C02,1730252,1531649,1582672,-198603,-11.5
2024-08-01,Z04,C03,2847116,2286378,2370257,-560738,-19.7
2024-08-01,Z04,C04,1609439,1322586,1364057,-286853,-17.8
2024-08-01,Z05,C01,2630025,1578015,1647277,-1052010,-40.0
2024-08-01,Z05,C02,1911892,1354343,1388520,-557549,-29.2
2024-08-01,Z05,C03,2613910,1783424,1849072,-830486,-31.8
2024-08-01,Z05,C04,1552403,1773378,1860879,220975,14.2
2024-08-01,Z06,C01,2579146,2113857,2193388,-465289,-18.0
2024-08-01,Z06,C02,1777369,1661389,1691560,-115980,-6.5
2024-08-01,Z06,C03,2741865,2543882,2579749,-197983,-7.2
2024-08-01,Z06,C04,1727550,1454919,1508782,-272631,-15.8
2024-09-01,Z01,C01,2547294,2458850,2538642,-88444,-3.5
2024-09-01,Z01,C02,1762284,1455305,1499600,-306979,-17.4
2024-09-01,Z01,C03,2808885,2569912,2663919,-238973,-8.5
2024-09-01,Z01,C04,1742872,1486478,1524031,-256394,-14.7
2024-09-01,Z02,C01,2509200,2528493,2585400,19293,0.8
2024-09-01,Z02,C02,1844736,1486876,1504945,-357860,-19.4
2024-09-01,Z02,C03,2794948,2373739,2471625,-421209,-15.1
2024-09-01,Z02,C04,1728096,1613224,1657947,-114872,-6.6
2024-09-01,Z03,C01,2459126,2458100,2546359,-1026,-0.0
2024-09-01,Z03,C02,1897946,1652222,1707630,-245724,-12.9
2024-09-01,Z03,C03,2793580,2339156,2452773,-454424,-16.3
2024-09-01,Z03,C04,1577116,1351917,1389707,-225199,-14.3
2024-09-01,Z04,C01,2578954,2623351,2726719,44397,1.7
2024-09-01,Z04,C02,1731287,1643578,1684812,-87709,-5.1
2024-09-01,Z04,C03,2712330,2363660,2402512,-348670,-12.9
2024-09-01,Z04,C04,1721777,1594743,1626958,-127034,-7.4
2024-09-01,Z05,C01,2486655,1491993,1509297,-994662,-40.0
2024-09-01,Z05,C02,1943434,1379190,1410781,-564244,-29.0
2024-09-01,Z05,C03,2613331,1809610,1888736,-803721,-30.8
2024-09-01,Z05,C04,1578945,1690969,1732099,112024,7.1
2024-09-01,Z06,C01,2605529,2148630,2230938,-456899,-17.5
2024-09-01,Z06,C02,1837729,1520125,1539472,-317604,-17.3
2024-09-01,Z06,C03,2732419,2343237,2381607,-389182,-14.2
2024-09-01,Z06,C04,1642365,1304626,1329215,-337739,-20.6
2024-10-01,Z01,C01,2455929,2195411,2275617,-260518,-10.6
2024-10-01,Z01,C02,1786787,1559839,1622398,-226948,-12.7
2024-10-01,Z01,C03,2739067,2553697,2627740,-185370,-6.8
2024-10-01,Z01,C04,1647150,1606819,1623453,-40331,-2.4
2024-10-01,Z02,C01,2575358,1799467,1842367,-775891,-30.1
2024-10-01,Z02,C02,1763005,1618962,1675375,-144043,-8.2
2024-10-01,Z02,C03,2610453,2096896,2175115,-513557,-19.7
2024-10-01,Z02,C04,1584131,1221934,1239695,-362197,-22.9
2024-10-01,Z03,C01,2467263,2448963,2526373,-18300,-0.7
2024-10-01,Z03,C02,1774141,1759064,1830869,-15077,-0.8
2024-10-01,Z03,C03,2734823,2546638,2653884,-188185,-6.9
2024-10-01,Z03,C04,1616800,1406388,1457104,-210412,-13.0
2024-10-01,Z04,C01,2483968,2196242,2263350,-287726,-11.6
2024-10-01,Z04,C02,1948568,1971788,2052499,23220,1.2
2024-10-01,Z04,C03,2739776,2659813,2687191,-79963,-2.9
2024-10-01,Z04,C04,1517163,1366395,1391710,-150768,-9.9
2024-10-01,Z05,C01,2579674,1965708,2018720,-613966,-23.8
2024-10-01,Z05,C02,1727243,1228161,1283607,-499082,-28.9
2024-10-01,Z05,C03,2794347,2202940,2293279,-591407,-21.2
2024-10-01,Z05,C04,1669492,1868827,1938799,199335,11.9
2024-10-01,Z06,C01,2406226,1847714,1872660,-558512,-23.2
2024-10-01,Z06,C02,1714226,1429065,1453530,-285161,-16.6
2024-10-01,Z06,C03,2666036,1990682,2028716,-675354,-25.3
2024-10-01,Z06,C04,1567803,1241681,1274344,-326122,-20.8
2024-11-01,Z01,C01,2518259,2156406,2179427,-361853,-14.4
2024-11-01,Z01,C02,1876501,1601304,1624895,-275197,-14.7
2024-11-01,Z01,C03,2601546,2204789,2293506,-396757,-15.3
2024-11-01,Z01,C04,1653513,1381279,1397607,-272234,-16.5
2024-11-01,Z02,C01,2622363,2553088,2589458,-69275,-2.6
2024-11-01,Z02,C02,1906278,1735912,1800896,-170366,-8.9
2024-11-01,Z02,C03,2759007,2586380,2657524,-172627,-6.3
2024-11-01,Z02,C04,1603576,1447755,1509842,-155821,-9.7
2024-11-01,Z03,C01,2408079,2039393,2070912,-368686,-15.3
2024-11-01,Z03,C02,1802496,1680027,1750371,-122469,-6.8
2024-11-01,Z03,C03,2822682,2184550,2218985,-638132,-22.6
2024-11-01,Z03,C04,1677547,1470940,1537837,-206607,-12.3
2024-11-01,Z04,C01,2608408,2447216,2565406,-161192,-6.2
2024-11-01,Z04,C02,1702922,1389148,1433797,-313774,-18.4
2024-11-01,Z04,C03,2745508,2446401,2526909,-299107,-10.9
2024-11-01,Z04,C04,1603306,1432717,1477828,-170589,-10.6
2024-11-01,Z05,C01,2648244,1894682,1969820,-753562,-28.5
2024-11-01,Z05,C02,1890300,1325105,1356582,-565195,-29.9
2024-11-01,Z05,C03,2708174,2104714,2137754,-603460,-22.3
2024-11-01,Z05,C04,1548232,1796553,1828483,248321,16.0
2024-11-01,Z06,C01,2447541,2280958,2364986,-166583,-6.8
2024-11-01,Z06,C02,1848712,1645720,1723554,-202992,-11.0
2024-11-01,Z06,C03,2743878,1992604,2049295,-751274,-27.4
2024-11-01,Z06,C04,1644091,1480107,1509750,-163984,-10.0
2024-12-01,Z01,C01,2451751,2303964,2393873,-147787,-6.0
2024-12-01,Z01,C02,1827714,1743287,1807530,-84427,-4.6
2024-12-01,Z01,C03,2661481,2350329,2383238,-311152,-11.7
2024-12-01,Z01,C04,1662402,1555384,1601166,-107018,-6.4
2024-12-01,Z02,C01,2486073,2154708,2229377,-331365,-13.3
2024-12-01,Z02,C02,1780130,1491746,1540488,-288384,-16.2
2024-12-01,Z02,C03,2811733,2299018,2351098,-512715,-18.2
2024-12-01,Z02,C04,1612278,1411462,1469934,-200816,-12.5
2024-12-01,Z03,C01,2586698,2497102,2595969,-89596,-3.5
2024-12-01,Z03,C02,1814327,1652036,1713464,-162291,-8.9
2024-12-01,Z03,C03,2686917,2622003,2740296,-64914,-2.4
2024-12-01,Z03,C04,1621332,1333462,1372771,-287870,-17.8
2024-12-01,Z04,C01,2428529,2221796,2259635,-206733,-8.5
2024-12-01,Z04,C02,1859023,1714724,1788556,-144299,-7.8
2024-12-01,Z04,C03,2833648,2561582,2642386,-272066,-9.6
2024-12-01,Z04,C04,1569005,1367086,1420535,-201919,-12.9
2024-12-01,Z05,C01,2633860,1580316,1597297,-1053544,-40.0
2024-12-01,Z05,C02,1832953,1110132,1146940,-722821,-39.4
2024-12-01,Z05,C03,2801641,1680985,1737469,-1120656,-40.0
2024-12-01,Z05,C04,1737582,2042218,2135669,304636,17.5
2024-12-01,Z06,C01,2541473,1824585,1869530,-716888,-28.2
2024-12-01,Z06,C02,1758538,1473790,1541080,-284748,-16.2
2024-12-01,Z06,C03,2754560,2244321,2308482,-510239,-18.5
2024-12-01,Z06,C04,1633801,1258870,1276019,-374931,-22.9
2025-01-01,Z01,C01,2495385,2025136,2114079,-470249,-18.8
2025-01-01,Z01,C02,1911429,1717984,1802636,-193445,-10.1
2025-01-01,Z01,C03,2779348,2602493,2674969,-176855,-6.4
2025-01-01,Z01,C04,1546961,1488557,1537165,-58404,-3.8
2025-01-01,Z02,C01,2548324,1950130,2027037,-598194,-23.5
2025-01-01,Z02,C02,1826747,1310787,1373137,-515960,-28.2
2025-01-01,Z02,C03,2610595,2254269,2282480,-356326,-13.6
2025-01-01,Z02,C04,1596845,1466002,1494385,-130843,-8.2
2025-01-01,Z03,C01,2575265,2459738,2519879,-115527,-4.5
2025-01-01,Z03,C02,1823122,1907324,1996427,84202,4.6
2025-01-01,Z03,C03,2831093,3061401,3131699,230308,8.1
2025-01-01,Z03,C04,1684480,1631353,1710861,-53127,-3.2
2025-01-01,Z04,C01,2566085,2398361,2447606,-167724,-6.5
2025-01-01,Z04,C02,1842698,1437469,1484627,-405229,-22.0
2025-01-01,Z04,C03,2698739,2287046,2369685,-411693,-15.3
2025-01-01,Z04,C04,1719013,1431854,1450631,-287159,-16.7
2025-01-01,Z05,C01,2465951,1479571,1524927,-986380,-40.0
2025-01-01,Z05,C02,1792510,1383360,1442415,-409150,-22.8
2025-01-01,Z05,C03,2690448,1644952,1701157,-1045496,-38.9
2025-01-01,Z05,C04,1631553,1980423,2018446,348870,21.4
2025-01-01,Z06,C01,2534883,1968039,2038375,-566844,-22.4
2025-01-01,Z06,C02,1755447,1475619,1525909,-279828,-15.9
2025-01-01,Z06,C03,2814159,2387634,2422812,-426525,-15.2
2025-01-01,Z06,C04,1560383,1207467,1225016,-352916,-22.6
2025-02-01,Z01,C01,2577007,2390066,2459743,-186941,-7.3
2025-02-01,Z01,C02,1755234,1451751,1490129,-303483,-17.3
2025-02-01,Z01,C03,2663876,2272886,2299537,-390990,-14.7
2025-02-01,Z01,C04,1650336,1440751,1484702,-209585,-12.7
2025-02-01,Z02,C01,2633517,2191888,2263981,-441629,-16.8
2025-02-01,Z02,C02,1714656,1574191,1622465,-140465,-8.2
2025-02-01,Z02,C03,2706287,2617962,2706905,-88325,-3.3
2025-02-01,Z02,C04,1647745,1268868,1318505,-378877,-23.0
2025-02-01,Z03,C01,2615299,2160917,2207027,-454382,-17.4
2025-02-01,Z03,C02,1722478,1614091,1660668,-108387,-6.3
2025-02-01,Z03,C03,2726266,2726677,2772547,411,0.0
2025-02-01,Z03,C04,1717674,1531824,1582843,-185850,-10.8
2025-02-01,Z04,C01,2601192,2335105,2375445,-266087,-10.2
2025-02-01,Z04,C02,1872922,1580234,1639372,-292688,-15.6
2025-02-01,Z04,C03,2841789,2493765,2563937,-348024,-12.2
2025-02-01,Z04,C04,1654821,1544119,1567726,-110702,-6.7
2025-02-01,Z05,C01,2404341,1693903,1724552,-710438,-29.5
2025-02-01,Z05,C02,1925336,1456963,1519701,-468373,-24.3
2025-02-01,Z05,C03,2758731,1740363,1764470,-1018368,-36.9
2025-02-01,Z05,C04,1624746,1927709,2014668,302963,18.6
2025-02-01,Z06,C01,2539311,2006068,2064825,-533243,-21.0
2025-02-01,Z06,C02,1734164,1420926,1486401,-313238,-18.1
2025-02-01,Z06,C03,2741370,2412058,2510940,-329312,-12.0
2025-02-01,Z06,C04,1670192,1180753,1212940,-489439,-29.3
2025-03-01,Z01,C01,2510279,2228446,2297957,-281833,-11.2
2025-03-01,Z01,C02,1760158,1607035,1683428,-153123,-8.7
2025-03-01,Z01,C03,2726385,2493174,2576850,-233211,-8.6
2025-03-01,Z01,C04,1694351,1428366,1494520,-265985,-15.7
2025-03-01,Z02,C01,2619464,2203122,2236952,-416342,-15.9
2025-03-01,Z02,C02,1825079,1504416,1565547,-320663,-17.6
2025-03-01,Z02,C03,2838573,2500752,2613463,-337821,-11.9
2025-03-01,Z02,C04,1607124,1305119,1331629,-302005,-18.8
2025-03-01,Z03,C01,2401433,2144751,2215784,-256682,-10.7
2025-03-01,Z03,C02,1730888,1415105,1458677,-315783,-18.2
2025-03-01,Z03,C03,2698311,2343017,2396054,-355294,-13.2
2025-03-01,Z03,C04,1594966,1346838,1366048,-248128,-15.6
2025-03-01,Z04,C01,2511692,2143461,2238200,-368231,-14.7
2025-03-01,Z04,C02,1811034,1525987,1575714,-285047,-15.7
2025-03-01,Z04,C03,2760400,2389137,2485178,-371263,-13.4
2025-03-01,Z04,C04,1608325,1559246,1609273,-49079,-3.1
2025-03-01,Z05,C01,2546161,1585371,1636414,-960790,-37.7
2025-03-01,Z05,C02,1766526,1212443,1272508,-554083,-31.4
2025-03-01,Z05,C03,2751427,1726744,1794832,-1024683,-37.2
2025-03-01,Z05,C04,1724132,2137764,2178790,413632,24.0
2025-03-01,Z06,C01,2605287,2076907,2155772,-528380,-20.3
2025-03-01,Z06,C02,1742413,1529435,1592820,-212978,-12.2
2025-03-01,Z06,C03,2809939,2422522,2500099,-387417,-13.8
2025-03-01,Z06,C04,1682729,1366644,1401581,-316085,-18.8
